Ten_lop,ID_lop,ID_khoa
081121C,929,0
081122A,930,0
081122B,931,0
08112CLC,932,0
081130A,933,0
081130B,934,0
081130C,935,0
081141A,936,0
081141B,937,0
081142A,938,0
081142B,939,0
081150A,940,0
081150B,941,0
081160A,942,0
081160B,943,0
081160C,944,0
081170A,945,0
081170B,946,0
081170C,947,0
081180A,948,0
081180B,949,0
081180C,950,0
081190A,951,0
081190B,952,0
081190C,953,0
081201A,954,0
081201B,955,0
081202A,956,0
081202B,957,0
081210A,958,0
081230A,959,0
081230B,960,0
081230C,961,0
081241A,962,0
081241B,963,0
081241C,964,0
081242A,965,0
081242B,966,0
081242C,967,0
081251A,968,0
081251B,969,0
081252A,970,0
081252B,971,0
082010A,972,0
082010B,973,0
082020A,974,0
082020B,975,0
082030A,976,0
082050A,977,0
082050B,978,0
082090A,979,0
082090B,980,0
082130A,981,0
082130B,982,0
083010A,983,0
083010B,984,0
083020A,985,0
083020B,986,0
083030A,987,0
083030B,988,0
083050A,989,0
083050B,990,0
08502SP,991,0
08503DN,992,0
08503SP,993,0
08505SP,994,0
087010A,995,0
087010B,996,0
087010C,997,0
087011A,998,0
087020A,999,0
087020B,1000,0
087020C,1001,0
087030A,1002,0
087030B,1003,0
087030C,1004,0
087031A,1005,0
087031C,1006,0
08703A,1007,0
08703B1,1008,0
087050A,1009,0
087050B,1010,0
087050C,1011,0
087090A,1012,0
087090B,1013,0
087090C,1014,0
08902LD1,1015,0
08902LD2,1016,0
08902LĐ2,1017,0
089030A,1018,0
08917LD1,1019,0
08917LD2,1020,0
08917LD3,1021,0
08BM,1022,0
08D02VDA,1023,0
08D02VDB,1024,0
08D02VDC,1025,0
08D02VDD,1026,0
08D02VDE,1027,0
08D03VDA,1028,0
08D03VDB,1029,0
08D03VDC,1030,0
08D03VDD,1031,0
08D03VDE,1032,0
08ED,1033,0
08FB,1034,0
091011A,1035,0
091011B,1036,0
091011C,1037,0
091012A,1038,0
091012B,1039,0
091012C,1040,0
09101CL1,1041,0
09101CL2,1042,0
091021A,1043,0
091021B,1044,0
091021C,1045,0
091022A,1046,0
091022B,1047,0
091022C,1048,0
09102CL1,1049,0
09102CL2,1050,0
091031A,1051,0
091031B,1052,0
091031C,1053,0
091032A,1054,0
091032B,1055,0
091032C,1056,0
09103CLC,1057,0
091041A,1058,0
091041B,1059,0
091042A,1060,0
091042B,1061,0
091051A,1062,0
091051B,1063,0
091051C,1064,0
091052A,1065,0
091052B,1066,0
091052C,1067,0
09105CL1,1068,0
09105CL2,1069,0
091060A,1070,0
091060B,1071,0
091070A,1072,0
091070B,1073,0
091080A,1074,0
091080B,1075,0
091080C,1076,0
09108CLC,1077,0
091090A,1078,0
091090B,1079,0
091090C,1080,0
091101A,1081,0
091101B,1082,0
091101C,1083,0
091102A,1084,0
091102B,1085,0
091102C,1086,0
09110CLC,1087,0
091111A,1088,0
091111B,1089,0
091112A,1090,0
091112B,1091,0
09111CLC,1092,0
091121A,1093,0
091121B,1094,0
091122A,1095,0
