ID_Mon,TenMon,KyHieu,TinhTrang
524,Thiết kế hệ thống công việc và Ergonomics,WDER231726,26
525,Thực tập Hệ thống sản xuất tự động,PRPS321526,26
526,Thực tập Mô phỏng trong Kỹ thuật công nghiệp,PRMS321626,26
527,Thực tập tốt nghiệp (KCN),FAIN440626,26
528,Đồ án tốt nghiệp,GRAT470626,26
529,Kỹ thuật chế tạo,MATE230430,30
530,Kỹ thuật ra quyết định đa mục tiêu,MCDM321526,26
531,Sản xuất tinh gọn,LPRO321126,26
532,Kiểm soát và quản lý tồn kho,INMC331826,26
533,Thiết kế vị trí và mặt bằng phân xưởng,FALA321626,26
534,Hệ thống thông tin quản lý,MAIS331726,26
535,Nhập môn ngành Kỹ nghệ gỗ và Nội thất,IFWT134328,28
536,Khoa học gỗ,WOSC230428,28
537,Nguyên lý cắt vật liệu gỗ,WPME222628,28
538,Máy và thiết bị chế biến gỗ,WMCP330728,28
539,Keo dán gỗ,WADH321028,28
540,Công nghệ sấy và bảo quản gỗ,WPDT331128,28
541,Công nghệ sản xuất đồ gỗ,TFUR330928,28
542,Thiết kế sản phẩm gỗ,FUDE332728,28
543,Công nghệ vật liệu gỗ,WBMT331328,28
544,Công nghệ xẻ,WSMT224128,28
545,Công nghệ trang sức vật liệu gỗ,WFTE321528,28
546,Công nghệ CAD/CAM-CNC,CCCT431725,25
547,Đồ án Thiết kế sản phẩm nội thất,PFDE414228,28
548,Thực tập khoa học gỗ,PRWS212828,28
549,Thực tập máy chế biến gỗ,PWPM322928,28
550,Thực tập sấy và bảo quản gỗ,PWPD313028,28
551,Thực tập gỗ 1,PRWW333128,28
552,Thực tập Công nghệ CAD/CAM-CNC,PCCC421825,25
553,Thực tập gỗ 2 (nâng cao),PRWW324428,28
554,Thực tập tốt nghiệp,FAIN444528,28
555,Khóa luận tốt nghiệp,GRAT473928,28
556,Chuyên đề tốt nghiệp 1 (CNCBLS),STOG433628,28
557,Chuyên đề tốt nghiệp 2 (CNCBLS),STOG423728,28
558,Chuyên đề tốt nghiệp 3 (CNCBLS),STOG423829,29
559,Nguyên lý thiết kế nội thất,PFID220828,28
560,Ergonomics trong thiết kế nội thất,EIID220528,28
561,Thiết kế nội thất nhà ở và biệt thự,HVID433428,28
562,Thiết kế nội thất công trình công cộng,OFID433528,28
563,Công nghệ thủy lực và khí nén,PNHY330529,29
564,Tự động hóa quá trình sản xuất,MPAU320729,29
565,Lập trình ứng dụng trong kỹ thuật,COPR321329,29
566,Lập trình C,CCPR224064,64
567,Nhập môn ngành CNKT ô tô,INAT130130,30
568,Cơ lý thuyết,THME230721,21
569,Sức bền vật liệu,STMA230521,21
570,Kỹ thuật điện – điện tử,AEEE230833,33
571,Nguyên lý - Chi tiết máy,MEMD230323,23
572,Vi điều khiển ứng dụng,AMIC320133,33
573,Nguyên lý động cơ đốt trong,ICEP330330,30
574,Lý thuyết ô tô,THEV330131,31
575,Tính toán động cơ đốt trong,ICEC320430,30
576,Thiết kế ô tô,VEDE320231,31
577,Năng lượng mới trên ô tô,AEVE320830,30
578,Hệ thống điện - điện tử ô tô,AEES330233,33
579,Hệ thống điều khiển tự động ô tô,VACS330333,33
580,Anh văn chuyên  ngành,EFAE327031,31
581,Quản lý dịch vụ ô tô,ASMA220230,30
582,TT Động cơ đốt trong,PICE331030,30
583,TT Hệ thống điều khiển động cơ,PEMS331130,30
584,TT Hệ thống điện – điện tử ô tô,PAES321133,33
585,TT Hệ thống điện thân xe,PABE331233,33
586,TT Hệ thống truyền lực ô tô,PAPS331131,31
587,TT HT ĐK và Chuyển động ô tô,PACS321231,31
588,Thực tập Tốt nghiệp (CNKT ô tô),PRGR442130,30
589,Khóa luận tốt nghiệp,GRTH472030,30
590,Toán cao cấp dành cho kỹ sư 1,MATH133101,1
591,Toán cao cấp dành cho kỹ sư 2,MATH133201,1
592,Vật lý 3,PHYS131102,2
593,Cơ sở công nghệ chế tạo máy,FMMT320825,25
594,Công nghệ kim loại,METE320126,26
595,Máy thủy lực và khí nén,PHEQ220332,32
596,Ứng dụng máy tính (ĐC),CAES320530,30
597,Ứng dụng máy tính (KG),CADS320531,31
598,Ứng dụng máy tính (ĐOT),CAMC320533,33
599,Đồ án môn học (ĐC),SPAE310730,30
600,Đồ án môn học (KG),SPAC312131,31
601,Đồ án môn học (ĐOT),SPAE310733,33
602,Công nghệ sản xuất và lắp ráp ô tô,AAMT320830,30
603,Công nghệ chẩn đoán sửa chữa ô tô,ADRT320331,31
604,Dao động và tiếng ồn,AVIN320431,31
605,Chuyên đề công nghệ mới trên động cơ,TAET420930,30
606,Chuyên đề an toàn và ổn định ô tô,TASS420931,31
607,Chuyên đề công nghệ xe điện - xe lai,THET420933,33
608,TT Chẩn đoán trên ô tô ,POAD321230,30
609,TT thân vỏ ô tô,PABP321331,31
610,TT lập trình điều khiển ô tô,PAUP321333,33
611,Năng lượng và quản lý năng lượng,ERMA326032,32
612,Nhập môn lập trình Python,INPY131685,85
613,Năng lượng và quản lý năng lượng,ERMA626032,32
614,Lý thuyết ô tô,THOV330131,31
615,Lập trình Matlab,IPRM121585,85
616,Nhập môn ngành Công nghệ Kỹ thuật Nhiệt,INTE130132,32
617,Anh văn 1,EHQT130137,37
618,Anh văn 2,EHQT230237,37
619,Anh văn 3,EHQT330337,37
620,Anh văn 4 (Anh văn chuyên ngành Nhiệt),ENTE230432,32
621,Kỹ thuật điện – điện tử,AEEE230832,32
622,Nhiệt động lực học kỹ thuật,THER230232,32
623,Truyền nhiệt,HEAT230332,32
624,Kỹ thuật lạnh,REEN230532,32
625,Lò hơi,BOIT330632,32
626,"Bơm, Quạt và Máy Nén",PFCO330232,32
627,Máy nén và thiết bị lạnh,COMP330732,32
628,Điều hòa không khí,ACSY340932,32
629,Nhà máy nhiệt điện,THPP331032,32
630,Kỹ thuật sấy và chưng cất,DRYT331132,32
631,Ứng dụng phần mềm thiết kế hệ thống ME,DSME433632,32
632,TT điện lạnh 1,RETP322132,32
633,TT điện lạnh 2,RETP332232,32
634,TT điện lạnh 3,RETP332332,32
635,TT điện lạnh 4,RETP322432,32
636,TT lò hơi,BOIP322732,32
637,TT sấy,DRYP322932,32
638,Chuyên đề Doanh Nghiệp (CNKT Nhiệt),ENSE320932,32
639,Thực tập tốt nghiệp,UNPR443032,32
640,Khóa luận tốt nghiệp,UNTH472832,32
641,Đại số tuyến tính,MATH133501,1
642,Vật liệu nhiệt lạnh,THMA221332,32
643,Đo lường nhiệt,THME221432,32
644,Thiết bị trao đổi nhiệt,HEEX321532,32
645,Nguyên lý tự động hóa quá trình nhiệt,PTPA321632,32
646,Kinh tế năng lượng,ENEC320832,32
647,Chuyên đề lạnh,STRT321732,32
648,Chuyên đề nhiệt,STHT321832,32
649,Chuyên đề năng lượng tái tạo,STRE321932,32
650,Đồ án lạnh,REPR310132,32
651,Đồ án nhiệt,THPR310232,32
652,Kiểm toán và tiết kiệm năng lượng,ENAE321845,45
