"ID_Mon","TenMon","KyHieu","FileDeCuong","ID_Khoa","ID_BoMon","ID_LoaiMon","TinhTrang"
"343","CAD/CAM-CNC nâng cao","ACCC330525",NULL,NULL,NULL,NULL,NULL
"344","Tự động hoá quá trình sản xuất (CKM)","AUMP323525",NULL,NULL,NULL,NULL,NULL
"345","TN Tự động hoá quá trình sản xuất (CKM)","EMPA313625",NULL,NULL,NULL,NULL,NULL
"346","Công nghệ thủy lực và khí nén","PNHY230529",NULL,NULL,NULL,NULL,NULL
"347","TN Công nghệ thuỷ lực và khí nén","EPHT310629",NULL,NULL,NULL,NULL,NULL
"348","Thực tập thiết kế, chế tạo khuôn mẫu","PMDM321324",NULL,NULL,NULL,NULL,NULL
"349","Thực tập Công nghệ nhựa","PLAP322224",NULL,NULL,NULL,NULL,NULL
"350","Thực tập CAD/CAM-CNC nâng cao","PACC320624",NULL,NULL,NULL,NULL,NULL
"351","Khóa luận tốt nghiệp","GRAT472424",NULL,NULL,NULL,NULL,NULL
"352","Chuyên đề tốt nghiệp 1 (CNKTCK)","STOG432524",NULL,NULL,NULL,NULL,NULL
"353","Chuyên đề tốt nghiệp 2 (CNKTCK)","STOG422624",NULL,NULL,NULL,NULL,NULL
"354","Chuyên đề tốt nghiệp 3 (CNKTCK)","STOG422724",NULL,NULL,NULL,NULL,NULL
"355","Viết tài liệu kỹ thuật dành cho kỹ sư","TEWR123525",NULL,NULL,NULL,NULL,NULL
"356","Kinh tế học đại cương (Ngành ngoài k.tế)","GEEC220105",NULL,NULL,NULL,NULL,NULL
"357","Dao động kỹ thuật","MEVI220820",NULL,NULL,NULL,NULL,NULL
"358","Cơ học lưu chất ứng dụng (CKM)","FLUI220132",NULL,NULL,NULL,NULL,NULL
"359","Tối ưu hóa trong kỹ thuật","OPTE322925",NULL,NULL,NULL,NULL,NULL
"360","Trí tuệ nhân tạo","AIAP324029",NULL,NULL,NULL,NULL,NULL
"361","Thiết kế kỹ thuật cơ bản","BAED133925",NULL,NULL,NULL,NULL,NULL
"362","Kỹ thuật nhiệt","THER222932",NULL,NULL,NULL,NULL,NULL
"363","Quản trị sản xuất và chất lượng","MQMA331326",NULL,NULL,NULL,NULL,NULL
"364","Thiết kế sản phẩm công nghiệp","DEIP331225",NULL,NULL,NULL,NULL,NULL
"365","Kỹ thuật Robot","ROBO331129",NULL,NULL,NULL,NULL,NULL
"366","Ứng dụng CAE trong thiết kế","CAED321024",NULL,NULL,NULL,NULL,NULL
"367","Thí nghiệm CAE","ECAE311124",NULL,NULL,NULL,NULL,NULL
"368","Mô hình hóa và phân tích hệ thống cơ khí","MAMS333625",NULL,NULL,NULL,NULL,NULL
"369","Hệ thống truyền động servo","SERV334029",NULL,NULL,NULL,NULL,NULL
"370","Công nghệ nano","NATE322625",NULL,NULL,NULL,NULL,NULL
